"name","population","coords"
"Afghanistan",38928341,"{33., 65.}"
"Aland Islands",29013,"{60.2476, 19.9418}"
"Albania",2877800,"{41., 20.}"
"Algeria",43851043,"{28., 3.}"
"American Samoa",55197,"{-14.287, -170.7}"
"Andorra",77265,"{42.5, 1.5}"
"Angola",32866268,"{-12.5, 18.5}"
"Anguilla",15002,"{18.21, -63.058}"
"Antigua and Barbuda",97928,"{17.05, -61.8}"
"Argentina",45195777,"{-34., -64.}"
"Armenia",2963234,"{40., 45.}"
"Aruba",106766,"{12.5, -69.9667}"
"Australia",25499881,"{-27., 133.}"
"Austria",9006400,"{47.33, 13.33}"
"Azerbaijan",10139175,"{40.5, 47.5}"
"Bahamas",393248,"{24.25, -76.}"
"Bahrain",1701583,"{26., 50.55}"
"Bangladesh",164689383,"{24., 90.}"
"Barbados",287371,"{13.1667, -59.5333}"
"Belarus",9449321,"{53., 28.}"
"Belgium",11589616,"{50.833, 4.}"
"Belize",397621,"{17.25, -88.75}"
"Benin",12123198,"{9.5, 2.25}"
"Bermuda",62273,"{32.33, -64.75}"
"Bhutan",771612,"{27.5, 90.5}"
"Bolivia",11673029,"{-17., -65.}"
"Caribbean Netherlands",26221,"{12.1856, -68.2913}"
"Bosnia and Herzegovina",3280815,"{44., 18.}"
"Botswana",2351625,"{-22., 24.}"
"Brazil",212559409,"{-10., -55.}"
"British Indian Ocean Territory",2500,"{-7.33402, 72.4318}"
"British Virgin Islands",30237,"{18.5, -64.5}"
"Brunei",437483,"{4.5, 114.667}"
"Bulgaria",6948445,"{43., 25.}"
"Burkina Faso",20903278,"{13., -2.}"
"Burundi",11890781,"{-3.5, 30.}"
"Cambodia",16718971,"{13., 105.}"
"Cameroon",26545864,"{6., 12.}"
"Canada",37742157,"{60., -95.}"
"Cape Verde",555988,"{16., -24.}"
"Cayman Islands",65720,"{19.5, -80.5}"
"Central African Republic",4829764,"{7., 21.}"
"Chad",16425859,"{15., 19.}"
"Chile",19116209,"{-30., -71.}"
"China",1439323774,"{35., 105.}"
"Christmas Island",1513,"{-10.5, 105.667}"
"Cocos Keeling Islands",550,"{-12.16, 96.88}"
"Colombia",50882884,"{4., -72.}"
"Comoros",869595,"{-12.1667, 44.25}"
"Cook Islands",17564,"{-21.233, -159.767}"
"Costa Rica",5094114,"{10., -84.}"
"Croatia",4105268,"{45.1667, 15.5}"
"Cuba",11326616,"{21.814, -79.194}"
"Curacao",164100,"{12.15, -68.95}"
"Cyprus",1207361,"{35., 33.}"
"Czech Republic",10708982,"{49.75, 15.5}"
"Democratic Republic of the Congo",89561404,"{0., 25.}"
"Denmark",5792203,"{56., 10.}"
"Djibouti",988002,"{11.5, 43.}"
"Dominica",71991,"{15.41667, -61.333}"
"Dominican Republic",10847904,"{19., -70.667}"
"East Timor",1318442,"{-8.8333, 125.91667}"
"Ecuador",17643060,"{-2., -77.5}"
"Egypt",102334403,"{27., 30.}"
"El Salvador",6486201,"{13.833, -88.91667}"
"Equatorial Guinea",1402985,"{2., 10.}"
"Eritrea",3546427,"{15., 39.}"
"Estonia",1326539,"{59., 26.}"
"Ethiopia",114963583,"{8., 38.}"
"Falkland Islands",3483,"{-51.75, -59.}"
"Faroe Islands",48865,"{62., -7.}"
